Fecha;Fondo;Ticker;Accion;Porcentaje;Modif_porc;Peso_absoluto;Precio;Banco;CNMV
01-09-2024;BOLSAEUROPA;SN.L;SMITH_NEPHEW GBP 621 0,78 -- --;0.78;0.0017115960633290544;0.0013350449293966624;1170.5;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;VOW.DE;VOLKSWAGEN AG EUR 615 0,59 -- --;0.7;-0.02226524685382379;-0.01558567279767665;101.0;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ITKA.MU;ANHEUSER-BUSCH EUR 526 0,66 -- --;0.66;0.0;0.0;55.5;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;ABBN.SW;ABB CHF 900 0,86 -- --;0.65;0.0041296716911006165;0.002684286599215401;48.63;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;DTE.DE;DEUTSCHE TELEKOM AG EUR 699 0,67 -- --;0.63;0.0;0.0;25.71;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;MBG.DE;MERCEDES-BENZ GROUP EUR 589 0,56 -- --;0.63;-0.0006412311638345487;-0.0004039756332157657;62.34;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;SREN.SW;SWISS RE CHF 458 0,57 -- --;0.57;-0.004302925989672977;-0.002452667814113597;115.7;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;UCG.MI;UNICREDIT SPA EUR 664 0,70 -- --;0.49;0.01287088470396969;0.006306733504945148;37.38;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;RMC.BE;REMY COINTREAU EUR 230 0,29 -- --;0.29;0.024322446143154968;0.007053509381514941;73.7;IBERCAJA;NOSE
01-09-2024;BOLSAEUROPA;HEI.DE;HEIDELBERG MAT EUR 86 0,11 -- --;0.11;0.0020951183741881717;0.0002304630211606989;95.66;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;AAPL;APPLE INCORPORATED USD 4.165 6,18 4.344 7,12;5.24;-0.003437921580573533;-0.018014709082205312;229.0;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;MSFT;MICROSOFT USD 1.828 3,86 1.532 3,85;4.95;0.009730828814872148;0.048167602633617135;417.14;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;GOOG;ALPHABET INC USD 1.552 3,28 1.238 3,11;3.35;0.010465116279069816;0.03505813953488388;165.11;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;NVDA;NVIDIA CORP USD 683 1,01 -- --;3.29;0.01513734161068119;0.049801853899141116;119.37;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;AMZN;AMAZON.COM USD 1.318 2,78 666 1,67;2.75;0.03706716244480592;0.10193469672321628;178.5;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;JPM;JPM CHASE USD 779 1,15 406 0,66;2.46;0.01165564106025833;0.028672877008235488;224.8;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;META;META PLATFORMS USD 3.215 3,00 4.733 5,55;2.34;0.005962718536528729;0.013952761375477225;521.31;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;CS.PA;AXA SA EUR 602 0,76 -- --;2.16;0.0029154518950437734;0.006297376093294551;34.4;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;INGA.AS;ING GROEP NV EUR 1.320 1,66 -- --;2.01;0.004780583476342204;0.00960897278744783;16.394;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;ASML.AS;ASM LITHOGRAPHY HOLD EUR 1.368 1,38 -- --;1.87;-0.013365735115431349;-0.024993924665856624;812.0;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;LOR.F;LOREAL EUR 1.350 1,36 -- --;1.87;0.005658953722334004;0.010582243460764588;399.85;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;DTE.DE;DEUTSCHE TELEKOM AG EUR 547 0,81 477 0,78;1.74;0.0;0.0;25.71;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;MA;MASTERCARD INC USD 205 3,18 -- --;1.74;0.005282861896838527;0.009192179700499037;483.34;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;MC.PA;LOUIS VUITTON EUR 568 0,84 511 0,84;1.74;-0.004576321228225602;-0.007962798937112547;674.3;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;NDA-DK.CO;NORDEA BANK SEK 2.065 1,00 -- --;1.74;0.0030241935483870325;0.005262096774193437;79.6;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;NESN.SW;NESTLE CHF 1.000 1,48 390 0,64;1.74;-0.0008781558726673798;-0.0015279912184412408;91.02;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;NOTA.F;NOVARTIS CHF 292 0,43 309 0,51;1.74;0.014285714285714285;0.024857142857142855;106.5;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;V;VISA INC USD 2.204 2,51 2.097 2,35;1.74;0.007473024205307712;0.013003062117235419;276.37;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;PRU.L;PRUDENTIAL GBP 543 0,81 -- --;1.49;-0.0024479804161567057;-0.0036474908200734915;652.0;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;IBE.MC;IBERDROLA EUR 4.599 2,23 742 0,75;1.47;0.006279434850863428;0.009230769230769239;12.82;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;ADBE;ADOBE USD 945 1,19 938 1,24;1.36;0.008391411969172924;0.011412320278075178;574.41;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;AVGO;BROADCOM USD 3.539 1,29 -- --;1.29;0.037532657872936886;0.04841712865608858;162.82;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;LLY;LILLY USD 3.432 1,25 1.290 0,59;1.25;0.021080621144437286;0.026350776430546608;960.02;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;JNJ;JOHNSON_JOHNSON USD 3.408 1,24 1.517 0,70;1.24;0.009925105035620921;0.012307130244169942;165.86;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;UNH;UNITEDHEALTH GROUP USD 888 1,32 -- --;1.22;-0.0023158713254559974;-0.002825363017056317;590.2;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;DIS;WALT DISNEY CO USD 1.673 1,90 1.430 1,60;1.19;0.006346731989756076;0.00755261106780973;90.38;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;FP.VI;TOTAL EUR 503 0,75 446 0,73;1.12;-0.00382653061224493;-0.004285714285714322;62.48;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;PG;PROCTER  GAMBLE USD 3.864 1,51 -- â;1.11;0.008880785743692237;0.009857672175498383;171.54;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;HSBA.L;HSBC HOLDINGS GBP 561 0,64 -- --;1.07;0.008928571428571567;0.009553571428571578;666.7;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;BRK-B;BERKSHIRE HATHAWAY USD 2.908 1,06 -- --;1.06;0.016119734398018684;0.017086918461899806;475.92;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;CRM;SALESFORCE USD 2.860 1,04 3.292 1,52;1.04;-0.01599159565775645;-0.01663125948406671;252.9;IBERCAJA;NOSE
01-09-2024;BOLSAINTERNACIONAL;HD;THE HOME DEPOT INC USD 729 1,08 -- --;1.03;0.003923064349152721;0.004040756279627303;368.5;IBERCAJA;NOSE
